,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
153,NDXP240426P17440000,2024-04-25 19:24:46+00:00,17440.0,92.5,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD
154,NDXP240426P17450000,2024-04-25 20:00:50+00:00,17450.0,96.45,0.0,0.0,0.0,0.0,26.0,0,1.0000000000000003e-05,True,REGULAR,USD
155,NDXP240426P17460000,2024-04-25 19:24:46+00:00,17460.0,101.25,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
156,NDXP240426P17470000,2024-04-25 20:00:41+00:00,17470.0,109.87,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
157,NDXP240426P17475000,2024-04-25 20:00:41+00:00,17475.0,112.52,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD
158,NDXP240426P17490000,2024-04-25 20:10:09+00:00,17490.0,25.55,0.0,0.0,0.0,0.0,17.0,0,1.0000000000000003e-05,True,REGULAR,USD
159,NDXP240426P17500000,2024-04-25 20:10:09+00:00,17500.0,27.75,0.0,0.0,0.0,0.0,23.0,0,1.0000000000000003e-05,True,REGULAR,USD
160,NDXP240426P17510000,2024-04-25 19:59:40+00:00,17510.0,148.5,0.0,0.0,0.0,0.0,151.0,0,1.0000000000000003e-05,True,REGULAR,USD
161,NDXP240426P17520000,2024-04-24 19:38:43+00:00,17520.0,120.0,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD
162,NDXP240426P17525000,2024-04-25 19:29:11+00:00,17525.0,139.15,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
163,NDXP240426P17540000,2024-04-24 19:59:15+00:00,17540.0,127.9,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
164,NDXP240426P17550000,2024-04-25 19:41:11+00:00,17550.0,189.92,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD
165,NDXP240426P17570000,2024-04-25 15:39:44+00:00,17570.0,324.65,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
166,NDXP240426P17575000,2024-04-25 19:24:01+00:00,17575.0,164.58,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
167,NDXP240426P17580000,2024-04-25 15:39:44+00:00,17580.0,333.8,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
168,NDXP240426P17590000,2024-04-25 18:06:35+00:00,17590.0,201.1,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD
169,NDXP240426P17600000,2024-04-25 19:39:30+00:00,17600.0,206.16,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD
